id,wallet,adapter,amount_pct,network,recipient_policy,fee_policy,psbt_file,xpub,wallet_path,electrum_cmd,core_wallet,descriptor_range,recipient_address,recipient_index,target_sats,tags,enabled,notes
wallet_electrum_pct10,electrum,electrum,10,mainnet,same-wallet-fresh,wallet-native,,,,,,,,50,10000000,wallet-baseline|electrum|amt-pct-10|fee-wallet-native,true,Controlled 1 BTC wallet baseline
wallet_electrum_pct30,electrum,electrum,30,mainnet,same-wallet-fresh,wallet-native,,,,,,,,50,30000000,wallet-baseline|electrum|amt-pct-30|fee-wallet-native,true,Controlled 1 BTC wallet baseline
wallet_electrum_pct50,electrum,electrum,50,mainnet,same-wallet-fresh,wallet-native,,,,,,,,50,50000000,wallet-baseline|electrum|amt-pct-50|fee-wallet-native,true,Controlled 1 BTC wallet baseline
wallet_electrum_pct80,electrum,electrum,80,mainnet,same-wallet-fresh,wallet-native,,,,,,,,50,80000000,wallet-baseline|electrum|amt-pct-80|fee-wallet-native,true,Controlled 1 BTC wallet baseline
wallet_electrum_pct95,electrum,electrum,95,mainnet,same-wallet-fresh,wallet-native,,,,,,,,50,95000000,wallet-baseline|electrum|amt-pct-95|fee-wallet-native,true,Controlled 1 BTC wallet baseline
wallet_bitcoincore_pct10,bitcoin-core,bitcoin_core,10,mainnet,same-wallet-fresh,wallet-native,,,,,wallet_baseline_core_watchonly,200,,50,10000000,wallet-baseline|bitcoin-core|amt-pct-10|fee-wallet-native,true,Controlled 1 BTC Bitcoin Core wallet baseline
wallet_bitcoincore_pct30,bitcoin-core,bitcoin_core,30,mainnet,same-wallet-fresh,wallet-native,,,,,wallet_baseline_core_watchonly,200,,50,30000000,wallet-baseline|bitcoin-core|amt-pct-30|fee-wallet-native,true,Controlled 1 BTC Bitcoin Core wallet baseline
wallet_bitcoincore_pct50,bitcoin-core,bitcoin_core,50,mainnet,same-wallet-fresh,wallet-native,,,,,wallet_baseline_core_watchonly,200,,50,50000000,wallet-baseline|bitcoin-core|amt-pct-50|fee-wallet-native,true,Controlled 1 BTC Bitcoin Core wallet baseline
wallet_bitcoincore_pct80,bitcoin-core,bitcoin_core,80,mainnet,same-wallet-fresh,wallet-native,,,,,wallet_baseline_core_watchonly,200,,50,80000000,wallet-baseline|bitcoin-core|amt-pct-80|fee-wallet-native,true,Controlled 1 BTC Bitcoin Core wallet baseline
wallet_bitcoincore_pct95,bitcoin-core,bitcoin_core,95,mainnet,same-wallet-fresh,wallet-native,,,,,wallet_baseline_core_watchonly,200,,50,95000000,wallet-baseline|bitcoin-core|amt-pct-95|fee-wallet-native,true,Controlled 1 BTC Bitcoin Core wallet baseline
wallet_wasabi_pct10,wasabi,import,10,mainnet,same-wallet-fresh,wallet-native,wallet_imports/wasabi/wasabi_pct10.psbt,,,,,,,50,10000000,wallet-baseline|wasabi|amt-pct-10|fee-wallet-native|manual-import,false,Manual Wasabi unsigned PSBT export pending
wallet_wasabi_pct30,wasabi,import,30,mainnet,same-wallet-fresh,wallet-native,wallet_imports/wasabi/wasabi_pct30.psbt,,,,,,,50,30000000,wallet-baseline|wasabi|amt-pct-30|fee-wallet-native|manual-import,false,Manual Wasabi unsigned PSBT export pending
wallet_wasabi_pct50,wasabi,import,50,mainnet,same-wallet-fresh,wallet-native,wallet_imports/wasabi/wasabi_pct50.psbt,,,,,,,50,50000000,wallet-baseline|wasabi|amt-pct-50|fee-wallet-native|manual-import,false,Manual Wasabi unsigned PSBT export pending
wallet_wasabi_pct80,wasabi,import,80,mainnet,same-wallet-fresh,wallet-native,wallet_imports/wasabi/wasabi_pct80.psbt,,,,,,,50,80000000,wallet-baseline|wasabi|amt-pct-80|fee-wallet-native|manual-import,false,Manual Wasabi unsigned PSBT export pending
wallet_wasabi_pct95,wasabi,import,95,mainnet,same-wallet-fresh,wallet-native,wallet_imports/wasabi/wasabi_pct95.psbt,,,,,,,50,95000000,wallet-baseline|wasabi|amt-pct-95|fee-wallet-native|manual-import,false,Manual Wasabi unsigned PSBT export pending
wallet_sparrow_eff_pct10,sparrow-efficiency,import,10,mainnet,same-wallet-fresh,wallet-native,wallet_imports/sparrow/sparrow_eff_pct10.psbt,,,,,,,50,10000000,wallet-baseline|sparrow-efficiency|amt-pct-10|fee-wallet-native|manual-import,false,Manual Sparrow Efficiency export pending
wallet_sparrow_priv_pct10,sparrow-privacy,import,10,mainnet,same-wallet-fresh,wallet-native,wallet_imports/sparrow/sparrow_priv_pct10.psbt,,,,,,,50,10000000,wallet-baseline|sparrow-privacy|amt-pct-10|fee-wallet-native|manual-import,false,Manual Sparrow Privacy export pending
wallet_sparrow_eff_pct30,sparrow-efficiency,import,30,mainnet,same-wallet-fresh,wallet-native,wallet_imports/sparrow/sparrow_eff_pct30.psbt,,,,,,,50,30000000,wallet-baseline|sparrow-efficiency|amt-pct-30|fee-wallet-native|manual-import,false,Manual Sparrow Efficiency export pending
wallet_sparrow_priv_pct30,sparrow-privacy,import,30,mainnet,same-wallet-fresh,wallet-native,wallet_imports/sparrow/sparrow_priv_pct30.psbt,,,,,,,50,30000000,wallet-baseline|sparrow-privacy|amt-pct-30|fee-wallet-native|manual-import,false,Manual Sparrow Privacy export pending
wallet_sparrow_eff_pct50,sparrow-efficiency,import,50,mainnet,same-wallet-fresh,wallet-native,wallet_imports/sparrow/sparrow_eff_pct50.psbt,,,,,,,50,50000000,wallet-baseline|sparrow-efficiency|amt-pct-50|fee-wallet-native|manual-import,false,Manual Sparrow Efficiency export pending
wallet_sparrow_priv_pct50,sparrow-privacy,import,50,mainnet,same-wallet-fresh,wallet-native,wallet_imports/sparrow/sparrow_priv_pct50.psbt,,,,,,,50,50000000,wallet-baseline|sparrow-privacy|amt-pct-50|fee-wallet-native|manual-import,false,Manual Sparrow Privacy export pending
wallet_sparrow_eff_pct80,sparrow-efficiency,import,80,mainnet,same-wallet-fresh,wallet-native,wallet_imports/sparrow/sparrow_eff_pct80.psbt,,,,,,,50,80000000,wallet-baseline|sparrow-efficiency|amt-pct-80|fee-wallet-native|manual-import,false,Manual Sparrow Efficiency export pending
wallet_sparrow_priv_pct80,sparrow-privacy,import,80,mainnet,same-wallet-fresh,wallet-native,wallet_imports/sparrow/sparrow_priv_pct80.psbt,,,,,,,50,80000000,wallet-baseline|sparrow-privacy|amt-pct-80|fee-wallet-native|manual-import,false,Manual Sparrow Privacy export pending
wallet_sparrow_eff_pct95,sparrow-efficiency,import,95,mainnet,same-wallet-fresh,wallet-native,wallet_imports/sparrow/sparrow_eff_pct95.psbt,,,,,,,50,95000000,wallet-baseline|sparrow-efficiency|amt-pct-95|fee-wallet-native|manual-import,false,Manual Sparrow Efficiency export pending
wallet_sparrow_priv_pct95,sparrow-privacy,import,95,mainnet,same-wallet-fresh,wallet-native,wallet_imports/sparrow/sparrow_priv_pct95.psbt,,,,,,,50,95000000,wallet-baseline|sparrow-privacy|amt-pct-95|fee-wallet-native|manual-import,false,Manual Sparrow Privacy export pending
